time,max
0.0,10.576217651367188
0.071,14.12473487854004
0.151,17.031993865966797
0.23,18.58837890625
0.313,18.996627807617188
0.393,19.303386688232425
0.473,19.330585479736328
0.553,19.126708984375
0.633,18.8616943359375
0.713,18.25936889648437
0.793,17.780948638916016
0.874,17.406719207763672
0.953,16.65511131286621
1.053,14.720109939575195
1.133,13.327925682067873
1.213,13.883331298828123
1.293,15.115606307983398
1.373,16.594493865966797
1.453,17.64398193359375
1.533,17.984161376953125
1.613,17.992908477783203
1.7,18.05273056030273
1.774,18.14737701416016
1.859,18.31496238708496
1.933,18.39809799194336
2.014,18.518150329589844
2.093,18.47087860107422
2.173,19.063617706298828
2.253,17.19745635986328
2.353,16.59561538696289
2.435,17.508718490600586
2.514,18.10509490966797
2.594,18.293930053710938
2.673,18.119155883789062
2.754,17.786773681640625
2.835,17.516525268554688
2.915,17.15589714050293
2.995,16.999385833740234
3.074,17.034059524536133
3.154,16.510129928588867
3.234,15.607352256774902
3.313,15.23613739013672
3.393,14.517803192138672
3.473,13.65365505218506
3.553,13.277545928955078
3.653,13.221176147460938
3.734,13.140596389770508
3.814,12.883859634399414
3.894,12.76324462890625
3.973,13.063959121704102
4.053,13.709918975830078
4.133,14.58604907989502
4.212,15.054567337036133
4.295,15.086162567138672
4.377,14.737048149108888
4.454,13.12945556640625
4.534,10.943531036376951
4.614,9.689391136169434
4.694,9.21911907196045
4.774,9.45172119140625
4.854,9.587610244750977
4.955,9.50749397277832
5.035,9.69050407409668
5.113,9.74332046508789
5.193,9.610143661499023
5.274,9.444976806640623
5.354,9.22169303894043
5.434,8.995346069335938
5.516,9.553406715393066
5.594,10.519095420837402
5.674,11.19622039794922
5.758,11.325807571411133
5.834,10.73475456237793
5.914,10.279410362243652
5.995,9.85203742980957
6.074,9.657567977905272
6.173,9.644275665283203
6.253,9.695845603942873
6.334,9.70364761352539
6.413,9.78132438659668
6.493,9.832724571228027
6.574,9.868902206420898
6.654,9.695165634155272
6.734,9.769155502319336
6.815,8.935003280639648
6.893,10.7631196975708
6.973,13.207918167114258
7.171,13.64028549194336
